# startbin 0.0 endbin 10.0 nbins 100
0.0000  0
0.1000  0
0.2000  0
0.3000  0
0.4000  0
0.5000  0
0.6000  0
0.7000  0
0.8000  0
0.9000  1
1.0000  0
1.1000  1
1.2000  0
1.3000  1
1.4000  0
1.5000  0
1.6000  2
1.7000  5
1.8000  2
1.9000  3
2.0000  6
2.1000  6
2.2000  15
2.3000  9
2.4000  12
2.5000  23
2.6000  27
2.7000  42
2.8000  44
2.9000  43
3.0000  63
3.1000  70
3.2000  86
3.3000  105
3.4000  124
3.5000  137
3.6000  150
3.7000  181
3.8000  184
3.9000  239
4.0000  243
4.1000  307
4.2000  300
4.3000  326
4.4000  351
4.5000  387
4.6000  375
4.7000  400
4.8000  379
4.9000  363
5.0000  395
5.1000  348
5.2000  410
5.3000  371
5.4000  373
5.5000  339
5.6000  317
5.7000  330
5.8000  275
5.9000  276
6.0000  243
6.1000  214
6.2000  179
6.3000  149
6.4000  119
6.5000  119
6.6000  111
6.7000  91
6.8000  60
6.9000  54
7.0000  44
7.1000  42
7.2000  27
7.3000  26
7.4000  15
7.5000  17
7.6000  13
7.7000  12
7.8000  3
7.9000  6
8.0000  2
8.1000  1
8.2000  1
8.3000  1
8.4000  3
8.5000  1
8.6000  0
8.7000  1
8.8000  0
8.9000  0
9.0000  0
9.1000  0
9.2000  0
9.3000  0
9.4000  0
9.5000  0
9.6000  0
9.7000  0
9.8000  0
9.9000  0
